,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Concepte,Rang_soroll,Valor,Lloguer_mitja_mensual,Lloguer_mitja_m2
226,5,Sarrià-Sant Gervasi,23,Sarrià,TOTAL_D,65-70 dB,9.42,1353.54,17.45
227,5,Sarrià-Sant Gervasi,23,Sarrià,TOTAL_D,70-75 dB,2.41,1353.54,17.45
228,5,Sarrià-Sant Gervasi,23,Sarrià,TOTAL_D,75-80 dB,0.02,1353.54,17.45
229,5,Sarrià-Sant Gervasi,23,Sarrià,TOTAL_D,>=80 dB,0.0,1353.54,17.45
230,5,Sarrià-Sant Gervasi,24,les Tres Torres,TOTAL_D,<40 dB,0.25,1627.2,16.83
231,5,Sarrià-Sant Gervasi,24,les Tres Torres,TOTAL_D,40-45 dB,17.23,1627.2,16.83
232,5,Sarrià-Sant Gervasi,24,les Tres Torres,TOTAL_D,45-50 dB,18.17,1627.2,16.83
233,5,Sarrià-Sant Gervasi,24,les Tres Torres,TOTAL_D,50-55 dB,16.2,1627.2,16.83
234,5,Sarrià-Sant Gervasi,24,les Tres Torres,TOTAL_D,55-60 dB,19.83,1627.2,16.83
235,5,Sarrià-Sant Gervasi,24,les Tres Torres,TOTAL_D,60-65 dB,13.33,1627.2,16.83
236,5,Sarrià-Sant Gervasi,24,les Tres Torres,TOTAL_D,65-70 dB,9.86,1627.2,16.83
237,5,Sarrià-Sant Gervasi,24,les Tres Torres,TOTAL_D,70-75 dB,5.13,1627.2,16.83
238,5,Sarrià-Sant Gervasi,24,les Tres Torres,TOTAL_D,75-80 dB,0.0,1627.2,16.83
239,5,Sarrià-Sant Gervasi,24,les Tres Torres,TOTAL_D,>=80 dB,0.0,1627.2,16.83
240,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,TOTAL_D,<40 dB,0.3,1235.24,15.32
241,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,TOTAL_D,40-45 dB,12.6,1235.24,15.32
242,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,TOTAL_D,45-50 dB,18.14,1235.24,15.32
243,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,TOTAL_D,50-55 dB,11.92,1235.24,15.32
244,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,TOTAL_D,55-60 dB,20.03,1235.24,15.32
245,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,TOTAL_D,60-65 dB,15.07,1235.24,15.32
246,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,TOTAL_D,65-70 dB,10.8,1235.24,15.32
247,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,TOTAL_D,70-75 dB,11.14,1235.24,15.32
248,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,TOTAL_D,75-80 dB,0.0,1235.24,15.32
249,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,TOTAL_D,>=80 dB,0.0,1235.24,15.32
250,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,TOTAL_D,<40 dB,0.07,1312.36,14.6
251,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,TOTAL_D,40-45 dB,9.68,1312.36,14.6
